title,overview,vote_count,original_language,release_date,popularity,vote_average
Wrath of Man,"A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",3343,en,2021-04-22,Wrath of Man,7.8
Apex,"Ex-cop Thomas Malone is serving a life sentence for a crime he didn’t commit. He is offered a chance at freedom if he can survive a deadly game of Apex, in which six hunters pay for the pleasure of hunting another human on a remote island. He accepts, and once he arrives, all hell breaks loose.",397,en,2021-11-12,Apex,5.4
Snake Eyes: G.I. Joe Origins,"After saving the life of their heir apparent, tenacious loner Snake Eyes is welcomed into an ancient Japanese clan called the Arashikage where he is taught the ways of the ninja warrior. But, when secrets from his past are revealed, Snake Eyes' honor and allegiance will be tested – even if that means losing the trust of those closest to him.",1018,en,2021-07-22,Snake Eyes: G.I. Joe Origins,6.8
Dragon Fury,A group of soldiers are taken to the mountains of Wales to investigate a strange looking monster.,32,en,2021-06-15,Dragon Fury,6.1
Gone Mom: The Disappearance of Jennifer Dulos,"Jennifer Dulos, the wealthy, Connecticut mother-of-five who mysteriously vanished.",106,en,2021-06-05,Gone Mom: The Disappearance of Jennifer Dulos,7.8
The Deep House,"While diving in a remote French lake, a couple of YouTubers who specialize in underwater exploration videos discover a house submerged in the deep waters. What was initially a unique finding soon turns into a nightmare when they discover that the house was the scene of atrocious crimes. Trapped, with their oxygen reserves falling dangerously, they realize the worst is yet to come: they are not alone in the house.",517,en,2021-06-30,The Deep House,6.5
American Underdog,"The true story of Kurt Warner, who went from a stockboy at a grocery store to a two-time NFL MVP, Super Bowl champion, and Hall of Fame quarterback.",52,en,2021-12-25,American Underdog,7.1
Ripper Untold,A detective and a medical examiner join forces to solve a series of horrific murders in Victorian London - but one of them harbors a deadly secret.,72,en,2021-06-28,Ripper Untold,6.6
Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",24968,en,2009-12-10,Avatar,7.5
Amina,"In 16th-century Zazzau, now Zaria, Nigeria, Amina must utilize her military skills and tactics to defend her family's kingdom. Based on a true story.",87,en,2021-11-04,Amina,6.5
The Croods: A New Age,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",2866,en,2020-11-25,The Croods: A New Age,7.6
Seal Team,"After his best friend is killed in a shark attack, Quinn, a lovable yet tenacious seal assembles a SEAL TEAM to fight back against a gang of sharks overtaking the neighborhood. But this merry band of international seals are not at all trained for such a mission. They seek the help of a much more skillful combatant, Claggart, but even his tricks and flips can’t whip these guys into shape. However, with a little bit of ingenuity, intelligence and a lot of heart, our SEAL TEAM may actually be able to bring peace back to their undersea community.",121,en,2021-10-28,Seal Team,7.0
Dynasty Warriors,"In the turbulent late Eastern Han Dynasty. Ambitious Dong Zhuo controls the court and the commonalty, and heroes from all over the country begin to rise.",82,cn,2021-04-27,Dynasty Warriors,6.7
Time Is Up,"Vivien, an accomplished student with a passion for physics, and Roy, a troubled young man, are involved in an accident that forces them to reclaim their lives one minute at the time.",236,en,2021-09-09,Time Is Up,6.3
Sator,"Secluded in a desolate forest, a broken family is observed by Sator, a supernatural entity who is attempting to claim them.",65,en,2019-07-21,Sator,5.4
Book of Love,"Young, uptight English writer Henry’s novel is a resolute failure. He is delighted to find out his book is a surprise hit in Mexico but when he is invited there to promote it, he soon discovers why: his Spanish translator Maria has rewritten his dull book as an erotic novel. Henry is furious, and even more so when his publisher insists he and Maria conduct a book tour across Mexico together. Opposites attract and the chemistry between the couple ensures sparks fly.",16,en,2022-01-06,Book of Love,4.8
My Hero Academia: Heroes Rising,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.",885,ja,2019-12-20,My Hero Academia: Heroes Rising,8.4
Far From the Tree,"On an idyllic beach in the Pacific Northwest, curiosity gets the better of a young raccoon whose frustrated parent attempts to keep them both safe.",188,en,2021-11-24,Far From the Tree,8.1
"Miraculous World: New York, United HeroeZ","During a school field trip, Ladybug and Cat Noir meet the American superheroes, whom they have to save from an akumatised super-villain. They discover that Miraculous exist in the United States too.",861,fr,2020-11-21,"Miraculous World: New York, United HeroeZ",8.3
Crazy Fist,"After an opponent dies mid-match, a prominent MMA champion swore never to fight again and retired to run his family's company. But when his best friend dies under suspicious circumstances, he has no choice but to step back in the ring.",43,zh,2021-05-06,Crazy Fist,7.4
Sonic the Hedgehog 2,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",0,en,2022-03-30,Sonic the Hedgehog 2,0.0
Halloween Kills,"The nightmare isn't over as unstoppable killer Michael Myers escapes from Laurie Strode's trap to continue his ritual bloodbath. Injured and taken to the hospital, Laurie fights through the pain as she inspires residents of Haddonfield, to rise up against Myers. Taking matters into their own hands, the Strode women and other survivors form a vigilante mob to hunt down Michael and end his reign of terror once and for all.",1565,en,2021-10-14,Halloween Kills,6.8
Don't Breathe 2,"The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.",1468,en,2021-08-12,Don't Breathe 2,7.5
What the Peeper Saw,"A wealthy author's second wife begins to suspect that her 12-year old stepson may have murdered his mother, who mysteriously died in a bathtub accident.",19,it,1972-10-14,What the Peeper Saw,5.7
Misfit #EresOTeHaces,,154,es,2021-10-14,Misfit #EresOTeHaces,8.0
Witch Hunt,"In a modern America where witches are real and witchcraft is illegal, a sheltered teenager must face her own demons and prejudices as she helps two young witches avoid law enforcement and cross the southern border to asylum in Mexico.",140,en,2021-10-01,Witch Hunt,7.2
Don't Look Up,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,4732,en,2021-12-07,Don't Look Up,7.2
The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",26430,en,2012-04-25,The Avengers,7.7
